ayr
eye
ham
hay
ann
aber
acle
acre
adel
afon
agus
aird
aire
aled
allt
alum
alyn
anna
ards
arms
arth
atte
ault
avon
awre
bach
bach
bala
bank
bann
bare
barn
barr
bath
beam
bean
beck
bede
beer
bees
bell
benn
bere
bois
bold
boyd
boyn
brae
bray
brow
bryn
buan
buci
bude
bulk
bull
bure
burn
bury
bush
bute
butt
cage
cale
camp
cann
caol
carr
cary
cefn
cheò
chew
city
clay
clee
clun
clun
coal
coch
coch
coed
cold
coln
coly
cope
copt
cote
cove
craf
craf
cray
crug
culm
cybi
dale
dane
dart
deal
dean
deas
dene
derg
dewi
diss
dole
doon
dore
dove
down
draw
drum
dyce
dyke
earl
earn
east
ebbw
eden
edge
eifl
eign
ella
elli
elms
erle
erme
erne
erth
essa
eton
eyam
eyke
fach
fach
fair
fant
farm
fawr
fell
fens
fife
five
fold
foot
ford
fort
four
fynn
gade
gaeo
gaer
garw
gate
gele
gill
glas
glas
glen
glyn
goat
goch
goch
gogo
gold
golf
gore
gowy
grey
gybi
gyda
gyle
hale
hall
hamp
hand
hans
hare
harp
hart
head
high
hill
holt
holy
hone
hood
hooe
hook
hope
horn
hove
howe
huby
hull
hurn
hyde
idle
ilan
ince
ings
irby
isaf
isis
isle
iver
ives
john
judd
jude
just
kenn
kent
kiln
king
kirk
kyle
kyme
lady
lake
lane
lash
lawn
leam
leek
leen
lees
legh
lent
leys
lime
ling
link
linn
liss
llay
llŷn
loch
lock
lode
long
looe
lorn
luke
lune
lyde
lyme
lymm
lyne
lyng
lynn
lyth
mabe
maen
maer
mare
mark
marl
mary
mash
maun
mawr
maze
mead
meir
meon
mere
mile
mill
moat
moel
moel
mold
mole
monk
moon
moor
moss
much
nant
nant
nash
nene
ness
neuk
nidd
nigg
nine
nith
noel
nook
nork
oake
oaks
oban
offa
ouse
oval
over
page
pant
parc
parc
park
parr
paul
peak
peel
penn
pier
pill
pitt
plas
pont
pool
port
pott
pyel
pyle
pype
quay
rame
read
rest
rhiw
rhos
rhyd
rhyl
rhyn
rice
ride
rise
road
roby
rock
rode
rope
rose
ross
rows
ruan
rush
ryde
sale
sarn
sarn
seal
seer
sele
send
sett
shap
shaw
siar
side
side
skye
soar
soho
spen
ston
stow
swan
sway
syon
tain
tale
tavy
tawe
teme
tern
test
tile
till
tone
tong
tove
town
tree
tref
troy
trym
tudy
turn
twyn
tyas
tyne
ùige
uley
undy
upon
uwch
vale
view
vigo
walk
wall
ward
ware
wash
wath
waun
waun
weir
well
wenn
west
wick
wing
wish
with
with
wold
wood
wool
wray
wrea
wyke
wyre
yare
yarm
yate
ynys
york
deas
east
hill
mabe
park
pyle
rock
ross
skye
vale
west
wood
anne
chad
duke
earl
john
king
land
luke
mark
mary
paul
taff
abbey
abbot
abram
acomb
acres
acton
aeron
agnes
allan
allen
alton
aluph
alway
amber
amble
amery
angus
annes
apley
arden
arfon
arley
arnos
arran
arrow
asaph
ascot
ashby
ashes
ashey
askew
aspin
aston
athan
avery
ayton
bacup
bagby
baird
baker
balby
banff
banks
banwy
barby
barms
barns
barnt
baruc
bates
beach
beare
beinn
beith
belah
belle
bells
bench
benet
bents
berry
betws
bigyn
birch
blaby
black
blaen
blean
blyth
boley
boney
booth
borth
bourn
bovey
bower
bowes
boyce
braes
braid
brant
bread
bream
breck
brede
brent
brett
briar
brick
bride
brigg
brill
brize
broad
brock
brook
broom
bro
brown
bruce
bruff
bugle
bunny
bures
burgh
burnt
burry
butts
bwlch
byker
bynea
byram
cadoc
calne
canal
canes
canol
capel
carew
carno
carrs
carse
cator
ceann
cedar
cefni
ceibr
cepen
cerne
chads
chalk
chard
chart
chase
cheam
cheap
chell
chess
chirk
churn
cimla
clare
claro
clays
clear
cleer
clent
clere
cliff
clock
close
clwyd
clyst
coast
coham
coity
coker
colan
coley
colne
combe
combs
coney
conwy
copse
corby
corfe
cosby
cotes
coton
coupe
court
coven
cowal
cowes
craig
crake
crane
crewe
crich
crick
croft
crome
croob
crook
cross
crown
crwst
cupar
curry
cwmdu
cymer
cynon
cyres
dacre
dafen
dalby
dales
dalry
danby
darcy
david
deane
deben
delph
delyn
denby
denge
denne
denny
derby
devon
dials
digby
dinas
dock
docks
dover
downs
doxey
drake
drove
drury
duchy
dyfan
dyson
eagle
earby
earls
eaton
eaves
ebble
efail
egdon
egham
elfed
elgin
elham
ellel
ellen
ellis
elloe
ellon
elmet
elson
elton
elvet
emmer
endon
epsom
erith
ermin
esher
essex
eston
ewell
ewloe
ewood
exton
extra
eyres
facit
famau
felin
fence
fenny
feock
ferne
ferry
fflur
filey
firth
fleet
flegg
flint
foggy
foley
forge
forth
forts
forty
forum
fosse
fowey
foyle
frant
friar
frome
furze
fuwch
fylde
garth
garth
gates
gaunt
giles
gipsy
glais
glebe
glens
goffs
goole
goose
gorge
gorse
gould
govan
gover
gower
grade
graig
graig
grays
great
green
groby
groes
grove
gwaun
gwent
hakin
hamps
hatch
haven
hawes
hawke
hawks
haxby
hayes
hayle
hazel
heage
heald
heath
hedge
heene
hemel
hendy
herne
heron
herts
hever
hills
hirst
hixon
hodge
holly
holme
honey
hoole
horam
horne
horse
hough
hound
house
hoxne
hughs
huish
hulme
hunts
hurst
hyson
hythe
iceni
iford
ingol
irlam
isaac
isles
issey
ithon
iwade
james
johns
jones
joyce
kader
keals
keele
keith
kells
kelly
kelso
kerne
kerry
kings
kirby
kitty
knibb
knoll
lacey
lache
lagan
laich
laine
lakes
lande
lanes
largo
larne
laund
lawns
layer
leake
leeds
leigh
leire
leith
leven
lever
lewes
llwyn
lochs
locks
lodge
lofts
logan
loose
loton
lough
louth
lowca
lower
lowes
loyes
lunan
luton
lynch
mabyn
madoc
magna
magor
maida
major
manea
manor
maple
march
mardy
marks
marsh
marys
meads
mease
meden
meeds
menai
meole
meols
meres
merry
mewan
miles
mills
minor
mold
money
monks
moore
moors
moray
morfa
moses
mount
mylor
myton
nairn
neath
nedge
nefyn
neots
newby
newry
niton
north
oadby
ochil
ogwen
olney
olton
omagh
ongar
orton
osney
osyth
otham
otley
otter
outer
oxhey
oxley
oxney
oxted
oxton
pandy
parks
parva
parys
pauls
pelaw
penge
perry
perth
peter
petts
place
plain
platt
pleck
poges
point
poole
porth
pound
powys
poyle
prees
quay
quays
queen
quorn
radyr
range
rasen
ratby
rayne
reach
reeth
regis
revel
rhins
ribby
ridge
ripon
risby
risca
rivel
river
rixon
roade
robin
